图片地址,电影名,别名,电影信息,评分,金句
['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2627847859.jpg'],"['崖上的波妞', '\xa0/\xa0崖の上のポニョ']",['\xa0/\xa0悬崖上的金鱼姬  /  悬崖上的金鱼公主'],"['\n                            导演: 宫崎骏 Hayao Miyazaki\xa0\xa0\xa0主演: 奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...', '\n                            2008\xa0/\xa0日本\xa0/\xa0动画 奇幻 冒险\n                        ']",['8.6'],[]
['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792423963.jpg'],"['千钧一发', '\xa0/\xa0Gattaca']",['\xa0/\xa0变种异煞(港)  /  自然人'],"['\n                            导演: 安德鲁·尼科尔 Andrew Niccol\xa0\xa0\xa0主演: 伊桑·霍克 Ethan Hawke / 乌玛...', '\n                            1997\xa0/\xa0美国\xa0/\xa0剧情 科幻 惊悚\n                        ']",['8.8'],[]
['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.jpg'],"['虎口脱险', '\xa0/\xa0La grande vadrouille']",['\xa0/\xa0横冲直撞出重围(港)  /  大進擊(台)'],"['\n                            导演: 杰拉尔·乌里 Gérard Oury\xa0\xa0\xa0主演: 路易·德·菲耐斯 Louis de Funès...', '\n                            1966\xa0/\xa0法国 英国\xa0/\xa0喜剧 战争\n                        ']",['8.9'],[]
['https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1598883511.jpg'],"['罗生门', '\xa0/\xa0羅生門']",['\xa0/\xa0Rashomon'],"['\n                            导演: 黑泽明 Akira Kurosawa\xa0\xa0\xa0主演: 三船敏郎 Toshirô Mifune / 京町子 ...', '\n                            1950\xa0/\xa0日本\xa0/\xa0剧情 犯罪 悬疑\n                        ']",['8.8'],[]
['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p475600770.jpg'],"['真爱至上', '\xa0/\xa0Love Actually']",['\xa0/\xa0真的恋爱了(港)  /  爱是您，爱是我(台)'],"['\n                            导演: 理查德·柯蒂斯 Richard Curtis\xa0\xa0\xa0主演: 休·格兰特 Hugh Grant / 连姆...', '\n                            2003\xa0/\xa0英国 美国 法国\xa0/\xa0喜剧 剧情 爱情\n                        ']",['8.5'],[]
['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913456924.jpg'],"['哈利·波特与凤凰社', '\xa0/\xa0Harry Potter and the Order of the Phoenix']",['\xa0/\xa0哈利波特5：凤凰会的密令(港 / 台) '],"['\n                            导演: 大卫·叶茨 David Yates\xa0\xa0\xa0主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...', '\n                            2007\xa0/\xa0英国 美国\xa0/\xa0奇幻 冒险\n                        ']",['8.6'],[]
['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2187896734.jpg'],"['彗星来的那一夜', '\xa0/\xa0Coherence']",['\xa0/\xa0相干性  /  相干效应'],"['\n                            导演: 詹姆斯·沃德·布柯特 James Ward Byrkit\xa0\xa0\xa0主演: 艾米丽·芭尔多尼 Em...', '\n                            2013\xa0/\xa0美国 英国\xa0/\xa0科幻 悬疑 惊悚\n                        ', '\n                                ', '\n                            ']",['8.6'],['小成本大魅力。']
['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p483604864.jpg'],"['恋恋笔记本', '\xa0/\xa0The Notebook']",['\xa0/\xa0忘了·忘不了(港)  /  手札情缘(台)'],"['\n                            导演: 尼克·卡索维茨 Nick Cassavetes\xa0\xa0\xa0主演: 瑞恩·高斯林 Ryan Gosling /...', '\n                            2004\xa0/\xa0美国\xa0/\xa0剧情 爱情\n                        ', '\n                                ', '\n                            ']",['8.5'],['爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ']
['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2421855655.jpg'],"['海边的曼彻斯特', '\xa0/\xa0Manchester by the Sea']",['\xa0/\xa0情系海边之城(港)'],"['\n                            导演: 肯尼斯·罗纳根 Kenneth Lonergan\xa0\xa0\xa0主演: 卡西·阿弗莱克 Casey Affle...', '\n                            2016\xa0/\xa0美国\xa0/\xa0剧情 家庭\n                        ', '\n                                ', '\n                            ']",['8.6'],['我们都有权利不与自己的过去和解。']
['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2264592493.jpg'],"['火星救援', '\xa0/\xa0The Martian']",['\xa0/\xa0火星任务(港)  /  绝地救援(台)'],"['\n                            导演: 雷德利·斯科特 Ridley Scott\xa0\xa0\xa0主演: 马特·达蒙 Matt Damon / 杰西卡...', '\n                            2015\xa0/\xa0英国 美国 匈牙利 约旦\xa0/\xa0剧情 科幻 冒险\n                        ']",['8.5'],[]
