图片地址,电影名,别名,电影信息,评分,金句
['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg'],"['肖申克的救赎', '\xa0/\xa0The Shawshank Redemption']",['\xa0/\xa0月黑高飞(港)  /  刺激1995(台)'],"['\n                            导演: 弗兰克·德拉邦特 Frank Darabont\xa0\xa0\xa0主演: 蒂姆·罗宾斯 Tim Robbins /...', '\n                            1994\xa0/\xa0美国\xa0/\xa0犯罪 剧情\n                        ', '\n                                ', '\n                            ']",['9.7'],['希望让人自由。']
['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2911205318.jpg'],['霸王别姬'],['\xa0/\xa0再见，我的妾  /  Farewell My Concubine'],"['\n                            导演: 陈凯歌 Kaige Chen\xa0\xa0\xa0主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...', '\n                            1993\xa0/\xa0中国大陆 中国香港\xa0/\xa0剧情 爱情 同性\n                        ', '\n                                ', '\n                            ']",['9.6'],['风华绝代。']
['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg'],"['泰坦尼克号', '\xa0/\xa0Titanic']",['\xa0/\xa0铁达尼号(港 / 台)'],"['\n                            导演: 詹姆斯·卡梅隆 James Cameron\xa0\xa0\xa0主演: 莱昂纳多·迪卡普里奥 Leonardo...', '\n                            1997\xa0/\xa0美国 墨西哥\xa0/\xa0剧情 爱情 灾难\n                        ', '\n                                ', '\n                            ']",['9.5'],['失去的才是永恒的。 ']
['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg'],"['阿甘正传', '\xa0/\xa0Forrest Gump']",['\xa0/\xa0福雷斯特·冈普'],"['\n                            导演: 罗伯特·泽米吉斯 Robert Zemeckis\xa0\xa0\xa0主演: 汤姆·汉克斯 Tom Hanks / ...', '\n                            1994\xa0/\xa0美国\xa0/\xa0剧情 爱情\n                        ', '\n                                ', '\n                            ']",['9.5'],['一部美国近现代史。']
['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg'],"['千与千寻', '\xa0/\xa0千と千尋の神隠し']",['\xa0/\xa0神隐少女(台)  /  千与千寻的神隐'],"['\n                            导演: 宫崎骏 Hayao Miyazaki\xa0\xa0\xa0主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...', '\n                            2001\xa0/\xa0日本\xa0/\xa0剧情 动画 奇幻\n                        ', '\n                                ', '\n                            ']",['9.4'],['最好的宫崎骏，最好的久石让。 ']
['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg'],"['美丽人生', '\xa0/\xa0La vita è bella']",['\xa0/\xa0一个快乐的传说(港)  /  Life Is Beautiful'],"['\n                            导演: 罗伯托·贝尼尼 Roberto Benigni\xa0\xa0\xa0主演: 罗伯托·贝尼尼 Roberto Beni...', '\n                            1997\xa0/\xa0意大利\xa0/\xa0剧情 喜剧 爱情 战争\n                        ', '\n                                ', '\n                            ']",['9.5'],['最美的谎言。']
['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg'],"['星际穿越', '\xa0/\xa0Interstellar']",['\xa0/\xa0星际启示录(港)  /  星际效应(台)'],"['\n                            导演: 克里斯托弗·诺兰 Christopher Nolan\xa0\xa0\xa0主演: 马修·麦康纳 Matthew Mc...', '\n                            2014\xa0/\xa0美国 英国 加拿大\xa0/\xa0剧情 科幻 冒险\n                        ', '\n                                ', '\n                            ']",['9.4'],['爱是一种力量，让我们超越时空感知它的存在。']
['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913554676.jpg'],"['这个杀手不太冷', '\xa0/\xa0Léon']",['\xa0/\xa0终极追杀令(台)  /  杀手莱昂'],"['\n                            导演: 吕克·贝松 Luc Besson\xa0\xa0\xa0主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...', '\n                            1994\xa0/\xa0法国 美国\xa0/\xa0剧情 动作 犯罪\n                        ', '\n                                ', '\n                            ']",['9.4'],['怪蜀黍和小萝莉不得不说的故事。']
['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg'],"['盗梦空间', '\xa0/\xa0Inception']",['\xa0/\xa0潜行凶间(港)  /  全面启动(台)'],"['\n                            导演: 克里斯托弗·诺兰 Christopher Nolan\xa0\xa0\xa0主演: 莱昂纳多·迪卡普里奥 Le...', '\n                            2010\xa0/\xa0美国 英国\xa0/\xa0剧情 科幻 悬疑 冒险\n                        ', '\n                                ', '\n                            ']",['9.4'],['诺兰给了我们一场无法盗取的梦。']
['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg'],"['楚门的世界', '\xa0/\xa0The Truman Show']",['\xa0/\xa0真人Show(港)  /  真人戏'],"['\n                            导演: 彼得·威尔 Peter Weir\xa0\xa0\xa0主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...', '\n                            1998\xa0/\xa0美国\xa0/\xa0剧情 科幻\n                        ', '\n                                ', '\n                            ']",['9.4'],['如果再也不能见到你，祝你早安，午安，晚安。']
